score_diff,minutes_remaining,home_won
-8,24.098333333333333,1
-9,24.085,1
-9,24.085,1
-7,24.011666666666667,1
-7,24.011666666666667,1
-6,24.001666666666665,1
-6,24.0,1
-6,24.0,1
-6,24.0,1
-6,23.716666666666665,1
-8,23.216666666666665,1
-10,22.733333333333334,1
-12,22.21666666666667,1
-12,21.983333333333334,1
-12,21.65,1
-12,21.4,1
-10,20.96666666666667,1
-8,20.433333333333334,1
-7,19.95,1
-8,19.95,1
-5,19.416666666666668,1
-7,19.21666666666667,1
-7,19.0,1
-7,18.833333333333332,1
-7,18.4,1
-7,18.266666666666666,1
-7,18.21666666666667,1
-7,18.21666666666667,1
-7,18.21666666666667,1
-6,17.866666666666667,1
-6,17.633333333333333,1
-6,17.46666666666667,1
-4,17.05,1
-4,16.71666666666667,1
-4,16.55,1
-4,16.55,1
-6,16.316666666666666,1
-6,15.916666666666664,1
-4,15.600000000000001,1
-1,15.133333333333333,1
-1,14.850000000000001,1
-1,14.533333333333331,1
-1,14.533333333333331,1
-1,14.533333333333331,1
-3,14.25,1
-3,13.633333333333333,1
-3,13.299999999999997,1
-4,13.299999999999997,1
-2,12.89333333333333,1
-3,12.730000000000004,1
-3,12.730000000000004,1
-4,12.575000000000003,1
-4,12.235,1
-4,12.0,1
-4,12.0,1
-4,12.0,1
-4,12.0,1
-4,11.633333333333333,1
-5,11.383333333333333,1
-3,10.666666666666664,1
-5,10.116666666666667,1
-5,9.600000000000001,1
-6,9.116666666666667,1
-4,8.5,1
-4,8.166666666666664,1
-3,8.166666666666664,1
-2,7.883333333333333,1
-4,7.483333333333334,1
-4,7.483333333333334,1
-5,7.116666666666667,1
-5,6.816666666666663,1
-5,6.816666666666663,1
-5,6.816666666666663,1
-6,6.549999999999997,1
-6,6.200000000000003,1
-6,5.450000000000003,1
-6,5.016666666666666,1
-5,4.916666666666664,1
-4,4.616666666666667,1
-4,4.333333333333336,1
-5,3.866666666666667,1
-4,3.866666666666667,1
-4,3.3333333333333357,1
-2,3.116666666666667,1
-2,3.116666666666667,1
-2,2.549999999999997,1
-1,1.7833333333333314,1
1,1.5666666666666629,1
1,0.9216666666666669,1
1,0.884999999999998,1
-1,0.490000000000002,1
-1,0.15833333333333144,1
-1,0.15833333333333144,1
-1,0.15833333333333144,1
0,0.03333333333333144,1
0,0.03333333333333144,1
0,0.03333333333333144,1
0,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
3,0.0,1
3,0.0,1
6,0.0,1
4,0.0,1
6,0.0,1
5,0.0,1
5,0.0,1
2,0.0,1
2,0.0,1
4,0.0,1
4,0.0,1
4,0.0,1
4,0.0,1
2,0.0,1
2,0.0,1
2,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
0,0.0,1
-2,0.0,1
-2,0.0,1
-1,0.0,1
-1,0.0,1
-1,0.0,1
-3,0.0,1
-2,0.0,1
-2,0.0,1
-2,0.0,1
-2,0.0,1
-1,0.0,1
-2,0.0,1
0,0.0,1
0,0.0,1
1,0.0,1
1,0.0,1
